symbol,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9
A1BG,287.8758648375873,240.91411613060305,233.79496355188718,338.15110670132157,292.28683059259396,399.32930702451665,202.28874157285904,305.376466266144,302.97509188085945,340.1785877541632
A1CF,392.4036456244172,491.59737914393685,1035.7160187670288,685.4804175867905,914.4597606798195,686.4933969890112,590.3961726616485,786.4126492762263,955.4305923821262,681.2838532647128
A2M,704.699988552202,584.7348123563268,1072.4749299059501,682.4088895347545,785.6517421850552,790.732781577449,697.3739002855465,834.5757591890496,554.555030913463,1274.4168473681675
A2ML1,23.860908974931903,35.13081823897842,21.791884353564743,29.254956799383937,44.99796353394259,42.4104940785555,37.70553405534142,24.415029779529014,45.11017038511623,26.930908466924482
A3GALT2,359.0147857625635,364.6063148010228,358.2661944633261,524.7785758700577,438.0976146203501,438.3652600607908,432.1417729877447,349.93640764404375,345.5785062426993,359.2367322409739
A4GALT,470.22668001010464,925.5481023221854,1190.2784363248807,944.7338264375358,667.4138277336027,926.008340048093,525.1148442850131,1270.9328550995103,1154.642537171876,902.1877349899288
A4GNT,563.275358762637,467.2002899788154,743.987136005292,549.9459786347533,584.0628919345506,320.31202947332565,319.00093144046735,690.5217238584904,564.7316243116243,739.1045111434676
AAAS,579.5929115316593,663.1290864115532,549.8146998436963,479.61014925592735,596.0725744352508,653.395094134926,366.17097475591675,389.0243101790518,650.6532189398672,338.827818440568
AACS,888.0622085990607,486.6614854494305,887.2180665301715,1061.5364250773555,859.0083442185145,746.8979856717374,878.6948401703693,668.1733362835068,790.8110929803543,465.5059188560398
AADAC,490.27267014884444,770.4607226058197,880.1411234438443,835.0578860060921,627.673904547062,818.0136769685284,671.6296217662215,970.8862646183375,636.7621289294761,809.6149681755368
AADACL2,1129.2170278679166,1025.8574987190268,657.6748638942172,757.1656737276807,1079.042661882349,1434.0578738620948,731.7550813282324,779.5743221737291,1523.0437813820108,1092.9940047918035
AADACL3,135.16518153653666,147.88912511216841,88.59999924711052,71.20956439888896,139.08927067525062,90.05845001937884,119.01210051753121,117.20145135402204,163.57286475920438,121.43797926289922
AADACL4,1357.7563797288763,653.9802651177463,1200.2982944900125,1271.0380426239617,1089.8957831918297,1168.5808735879461,1052.702741246875,891.0760465828884,1400.6556677055426,1534.988035854886
AADAT,216.6701812982265,192.08706523096453,296.64781864195663,132.2646873722137,140.84689749103697,184.40133871538265,95.3866583757987,168.63390456635088,164.1650094820324,234.90814623285317
AAGAB,276.02425268751193,420.738510517591,292.940560536448,305.274094271625,229.72276348724372,227.0530864380432,264.74711180008086,224.18528960111107,236.17541217336102,169.55363638049215
AAK1,899.2463455863675,935.2995929879735,884.9468759633737,876.7591806653687,1043.1534680730122,782.9169632166071,960.0922049841457,1415.1769505992236,787.8588023536317,852.2027100181527
AAMDC,738.7656801784367,946.681290216683,1307.9548212870068,896.4792539225524,1192.980623670567,1253.8226375194322,1758.7227310432488,1635.1381864726497,1071.0402049341117,1241.9159348317603
AAMP,1228.9510011119753,1674.416279199814,1110.4497904474226,827.7668854092007,1618.7338004787964,917.3479139383957,1513.2450530490119,1240.1397927462535,987.6766858000253,1623.4145922934197
AANAT,1716.223204660654,1032.0775367372805,1028.1810000544433,1334.7312036187582,878.8991692719226,982.1296634146969,1571.0718262527944,1269.2759015393378,1675.8691814299661,1383.40199874613
AAR2,15.57805000186973,10.392731838565265,22.560160751180508,9.976099855725682,9.719277427546574,10.690205947440132,12.156860979632723,18.521998605998256,13.707388067301705,13.008222301085551
AARD,323.14960827201156,287.4192095570024,319.5690669853064,304.6337582590614,200.30631725319088,248.33101599010357,359.42515430473935,305.2725462131952,385.2388788584411,288.03385372076184
AARS1,417.9662933265629,681.5551650216217,718.9422964210282,553.5113864291773,587.5321648521916,616.311037973905,450.40990240134886,582.3966861122561,546.4841920301084,479.1743581894442
AARS2,414.2834292146179,545.5892942533739,230.48595809846162,673.3606045232799,525.3284248733908,473.1708118534846,494.3947596452425,789.4843148824746,413.6444023969589,578.739066444026
AARSD1,530.3561095817203,508.60801370676415,692.5597113825495,459.53565031865355,579.2099456874953,292.145957945554,573.3108175663634,433.90289973427986,441.77042135900393,466.8376305157149
AASDH,456.6761199822077,479.16358127032856,492.4802827320417,436.3605960779104,359.33846651824484,612.0079048384001,451.7794661440893,226.4177378696583,460.2221130459817,426.2829770644466
