label,value
P,57.80923209295808
Q,45.96809022594692
R,12.060405617303681
S,32.55142093670518
T,69.82255898888785
P,18.959841444078485
Q,12.415307598100235
R,74.84667806985851
S,13.925063304662107
T,15.141982946681825
P,58.64071580012284
Q,55.40695334745554
R,29.949044186771467
S,78.45818324982231
T,44.21571236109736
P,49.57176738247387
Q,64.50847514988374
R,71.87594454828147
S,96.84027200331468
T,71.48957780115944
P,26.312845791800747
Q,10.563975751621303
R,89.17763055058707
S,33.60617283133631
T,91.5767931638959
P,80.81703892075438
Q,38.13236194726939
R,12.722348029164774
S,17.610919837388494
T,76.62270450576969
P,73.17243038452676
Q,74.08421359353264
R,90.82161644945562
S,15.913143232766195
T,53.621488374366415
P,42.91039193557471
Q,30.94908279208405
R,69.8908236508475
S,52.642519091009405
T,97.10963582272188
P,71.83054601266731
Q,98.13668999710943
R,21.340885626920162
S,99.05965157758578
T,15.67497892919153
P,12.778642759591456
Q,92.80779687720235
R,48.983647312299695
S,53.36591162243603
T,91.52233693024613
P,56.973203697295176
Q,39.07114807420834
R,30.189821252900224
S,22.600774473435894
T,91.76070192075309
P,65.42494366340404
Q,67.2283184283871
R,30.040522006141984
S,74.33693796969719
T,24.974792756981635
P,10.827680974719705
Q,42.277621904124544
R,20.185288856887958
S,35.47352422537223
T,26.900319738220954
P,36.975215831872184
Q,36.00333853055079
R,71.29121658468031
S,45.23525976425722
T,89.08747309560938
P,75.43139918274794
Q,29.279701118563278
R,76.4081161753133
S,51.5812243789413
T,56.67530313799396
P,14.589702080165452
Q,66.3662056394756
R,40.68890034335229
S,22.180320313673825
T,69.56574568176964
P,77.71611651310226
Q,59.99061236020567
R,40.72205569249789
S,45.15892942136604
T,98.43443203709273
P,35.8703383306123
Q,67.58031860471229
R,28.127881759024604
S,84.67461655077146
T,45.85118918121938
P,57.66702781691042
Q,73.8320870815452
R,56.935497525703354
S,45.34722423125228
T,95.29364007835451
P,55.03210815720761
Q,70.5951462878221
R,30.537647897090537
S,14.690023029562965
T,28.73364715531413
P,23.394755866694034
Q,87.07161459467736
R,71.41577015680267
S,73.24875831884572
T,39.29397798498391
P,44.629780254488864
Q,16.666757875398044
R,75.02472076555213
S,36.09743264501304
T,22.06276009992733
P,34.226911080431826
Q,43.54885470776046
R,71.86727967766453
S,90.7977527827173
T,88.8355629280776
P,19.827110546187306
Q,74.4254909726918
R,60.23058999225623
S,79.96952947767025
T,67.1727973760055
P,66.34554926896811
Q,55.395281234262846
R,63.60544995283373
S,60.19448249540407
T,60.15044726676517
P,77.50922099701268
Q,61.31961556295085
R,23.571824267998664
S,81.55859986706972
T,19.94741876491561
P,65.12191684428032
Q,66.52221614951866
R,84.29517922586014
S,55.22789091849803
T,93.2622371582867
P,98.92043948868721
Q,84.4675850946501
R,79.9582924540572
S,66.24201213999963
T,80.48319441305951
P,15.15317052616945
Q,73.73143965231685
R,25.434964074672727
S,66.79249478142893
T,60.88901706405376
P,86.65417777349867
Q,70.81240010167718
R,61.05284408518936
S,17.718718997177298
T,94.9249513225613
P,57.29971986830545
Q,34.69211944988294
R,90.10109157017781
S,14.098662490673528
T,98.4760074825311
P,21.594589395692047
Q,75.8485744257938
R,87.9073099860234
S,32.462711871102854
T,86.67380280051502
P,66.44678251742978
Q,11.833292982829265
R,97.17472145162958
S,17.457118494935266
T,66.6056443726618
P,20.51334246158053
Q,62.94278144304339
R,81.2387390937395
S,41.318377351025546
T,19.631787887627937
P,71.15680734914483
Q,32.41348600467613
R,60.581581168626364
S,54.05522201085955
T,75.5601458488812
P,45.827140403888315
Q,52.81978598870416
R,20.885989560368344
S,77.97721765733685
T,74.36303124503067
P,74.87220341008079
Q,48.38231411884307
R,79.65835314553861
S,54.69015976036003
T,55.865560274572076
P,31.646148418169414
Q,61.022584313811016
R,29.31687021056481
S,70.50985019546745
T,51.59998361245385
P,94.11916433762157
Q,42.48449529749639
R,64.15443151641085
S,76.09988456261972
T,39.88493652083477
P,70.2953550114982
Q,44.5278257995351
R,25.980742896527126
S,90.2365646103045
T,86.56642978329592
P,48.880135460045466
Q,64.81434216074331
R,64.73470735177928
S,76.39494442641497
T,14.90890068106321
P,99.95184759797579
Q,31.10176012207693
R,48.69375037766199
S,33.723984034495416
T,66.3703054868079
P,17.75198417245685
Q,58.38293635222307
R,62.50146669615555
S,64.0189801178391
T,81.34768382981959
P,58.388317711060694
Q,79.20044576654432
R,24.251866808279118
S,22.68554287783912
T,18.927904896403966
P,75.78473828304249
Q,19.63339110589353
R,74.68148329470475
S,53.026514363790206
T,77.29505275289091
P,44.26334732114023
Q,50.20140934463503
R,37.42434518615204
S,30.02641650019882
T,14.389191347813071
P,70.90164672949791
Q,13.613431937913216
R,22.820145298030283
S,60.89688075295243
T,52.55261176589798
P,51.97156503687594
Q,40.147934174899945
R,56.50259263613036
S,46.7714476130592
T,75.59016007785957
P,29.133772093856834
Q,91.47038707122427
R,20.292996504265254
S,17.91214571922649
T,46.25442049794479
P,87.00487408592683
Q,51.88582817731442
R,29.279609037391772
S,27.283349468901662
T,32.55365471709161
P,13.399643265422664
Q,25.304696786680886
R,61.88521196486627
S,11.495329481590932
T,72.92733705344818
P,93.59684736536711
Q,81.22345086106473
R,91.86824564972207
S,41.46209233907685
T,42.575407623646875
P,73.7387662625932
Q,82.93553605795728
R,87.38701874567286
S,60.68750508713219
T,25.02613340283028
P,52.620203977375844
Q,25.428614002065615
R,39.066901758210676
S,36.157589006582256
T,87.98248508075947
P,80.30715832626574
Q,22.333555808926185
R,12.932883776709579
S,52.43349403204194
T,46.75458339844369
P,49.08228802937191
Q,47.666081958373255
R,26.921105913811733
S,52.35308709698455
T,70.10998078588946
P,56.65588320116884
Q,66.6132723315831
R,11.876265157714375
S,53.57447966584791
T,52.005168980914554
P,46.66625646828572
Q,77.16245906621567
R,75.79279319801753
S,39.67174674111156
T,60.48527446828809
P,10.440759604756739
Q,14.642699368217144
R,51.092579029600095
S,61.434115789529386
T,65.46689534567295
P,77.67294355641307
Q,97.82668988660508
R,36.89238985351018
S,65.1165007503547
T,52.13813410432137
P,95.07300108850498
Q,10.577207966856738
R,68.57084756993686
S,76.10345975114684
T,40.898065744022496
P,55.94710228783834
Q,35.8447998909337
R,77.83886797793888
S,65.76187600962209
T,58.04179807765481
P,53.85970133568898
Q,31.409085506992533
R,76.81048387887867
S,52.64693586035031
T,72.48795790655022
P,11.059394853534933
Q,69.17055700296214
R,37.124876337333916
S,41.04889382110596
T,17.137705573610532
P,22.79753144168627
