label,value
P,51.37480213711704
Q,59.68874051192047
R,12.64950484656415
S,68.51449771620668
T,62.40294927734928
P,13.098352814356293
Q,71.39717829943588
R,25.097578604734508
S,97.60101578801869
T,50.00588112857444
P,19.588238628773205
Q,93.04006621310307
R,24.427689724500773
S,99.77214347683196
T,32.13607602016511
P,69.28225348864618
Q,95.91361251973673
R,99.72078531666452
S,46.169281219087544
T,71.38909294357379
P,42.646259255454986
Q,58.65094795901746
R,16.810231066650662
S,43.85081889488145
T,88.95408430007554
P,98.52572397130947
Q,14.826907051905478
R,44.934926457191764
S,12.197117320232234
T,99.99316986128564
P,86.08499172240175
Q,97.598982441415
R,99.7455759584586
S,60.23012879077143
T,37.021422191585124
P,28.804734719193963
Q,61.32232084298495
R,86.90564503987396
S,86.68546164998868
T,52.14283444781129
P,50.62746481089622
Q,14.52880312645038
R,60.111918563982215
S,39.21993901530376
T,30.386169128474254
P,52.02771307712068
Q,21.280775211219375
R,60.33003497877779
S,38.41383040014016
T,64.32113383300965
P,14.528620467726995
Q,13.365525417708204
R,75.3019248146145
S,37.08390952653234
T,97.1575477858343
P,49.42359355258198
Q,37.78437710470273
R,88.99619487529976
S,36.56180550396136
T,55.43214346204963
P,39.26014365226233
Q,10.071891148781024
R,82.77560988667075
S,97.982894054163
T,43.9023114579559
P,57.6626434982427
Q,61.575566165184895
R,16.68002435941634
S,86.57337249586696
T,86.22555967944601
P,99.5906716281268
Q,13.06001329321733
R,36.136806461107675
S,84.49528158656365
T,32.683244661439986
P,17.48821096120818
Q,16.067062870220067
R,89.78661994927913
S,86.64812687349962
T,60.41732844724532
P,50.08711631423583
Q,97.28223894253806
R,36.705672817285375
S,60.55821814177337
T,39.310180477098626
P,62.18207998838174
Q,78.00487385812693
R,70.512805337813
S,36.152128580730185
T,90.42518402588357
P,88.81662410843288
Q,70.75694128276419
R,33.332905327635395
S,12.026301774684216
T,18.544155641416452
P,46.00567920920092
Q,78.92904528396463
R,86.59628705127386
S,47.45545086839744
T,77.89883771922533
P,39.055778011735505
Q,30.010298010971436
R,34.44363077547685
S,87.79305473338508
T,89.82776277555017
P,67.10897734952593
Q,64.50879961723581
R,96.99787843707286
S,26.427812909627995
T,86.31987781211896
P,32.58235487617784
Q,68.99353168648493
R,48.98148532369896
S,70.14639558144852
T,86.07401093741375
P,85.91350645396668
Q,55.140739438118786
R,20.014657668859947
S,99.83056661846331
T,98.29831726537236
P,26.19020677961503
Q,81.98760858714219
R,49.970554721299514
S,47.67243628822812
T,34.08936348626299
P,63.22552543915504
Q,62.157734292241045
R,14.17285658616925
S,68.0336735779449
T,55.66097338175624
P,85.12651678169527
Q,97.68296537080037
R,60.93980942628108
S,51.36965673160366
T,35.60462908700016
P,42.59035709240077
Q,72.31933709117975
R,75.38422606950809
S,26.107401387494146
T,49.17305572512727
P,38.753157109738176
Q,91.53168948625618
R,31.255427077182574
S,74.28869956760826
T,67.82334631877843
P,67.76439442692345
Q,52.97094959401443
R,87.21277555110625
S,50.15360316777238
T,59.525602223265494
P,40.564173303680704
Q,27.54691996761061
R,55.84230628087487
S,44.137351159314655
T,13.341643603294884
P,59.805578786819375
Q,88.5779085945735
R,85.15258959916785
S,28.02295474505223
T,43.1576733989026
P,50.35365090036885
Q,82.72994026731234
R,67.9241263877497
S,73.4593632684769
T,32.73878566109308
P,81.6774919548683
Q,89.01929403905221
R,16.380256147966197
S,41.076502155828166
T,98.68151356855321
P,31.532846707474807
Q,80.51832483856953
R,72.93402504738793
S,20.35313512788434
T,78.16269431452861
P,36.76212182501722
Q,31.16908726094489
R,56.58644000127707
S,22.31956733180927
T,94.72999604954511
P,56.12601039188983
Q,81.74317765438826
R,31.24216676766384
S,62.10145859133053
T,35.938591135546226
P,18.493439945638332
Q,49.64818087069603
R,13.697331267627328
S,70.82848962945559
T,11.737098335344395
P,65.45308609482865
Q,77.11110081727288
R,57.158941268258104
S,60.93446878563048
T,65.50673521121229
P,50.340457878436446
Q,62.1057040663264
R,39.422691295981075
S,61.68440911536817
T,49.1634008056767
P,84.49191390746928
Q,66.3520294567747
R,21.912796954111553
S,95.55799878224707
T,41.239214037192
P,53.0008032279083
Q,31.786265194625287
R,65.92582759764949
S,94.26432561370721
T,24.827948218022673
P,37.73643836117256
Q,40.413394430083706
R,86.96027248531212
S,14.151631401264108
T,84.98989926891927
P,40.01269414343921
Q,46.21530276459029
R,29.06212733695272
S,35.54844049624704
T,26.92845294754583
P,41.95095116493563
Q,77.66275194040553
R,78.2420923931514
S,18.139048071663364
T,23.886108113964426
P,88.75158374419654
Q,17.277958656766693
R,76.38709106070431
S,63.32027594979973
T,22.853843711360007
P,54.583193671558824
Q,86.07642900592344
R,37.177202585047404
S,82.9614918467413
T,36.49928681503586
P,83.5635777539106
Q,25.42260369391882
R,27.384748415105765
S,28.668714265269717
T,58.675606200960246
P,81.53719005102539
Q,57.121051925028624
R,59.72956930949565
S,70.49074386065148
T,94.936865023363
P,44.54685072792543
Q,68.12594441479241
R,84.61113698440359
S,33.72959983102169
T,80.0015036237677
P,86.53290275335843
Q,59.55702864300257
R,65.91347828184033
S,90.51845245159937
T,86.80961817577553
P,60.18050744288438
Q,49.875346495718006
R,25.27388573830057
S,72.46254329943501
T,28.034151419825886
P,21.65351517844002
Q,75.8279561938399
R,87.55252105588531
S,23.56232260672864
T,82.6866139626722
P,46.25389777017249
Q,65.20854663067588
R,21.179966670307504
S,16.594237874667826
T,87.33051450863933
P,66.6172596812178
Q,10.784938350448073
R,87.96892448528583
S,21.352498511741747
T,22.7009291429585
P,11.613086597954922
Q,81.04642213763871
R,48.3652672772992
S,32.142498481419175
T,45.0214147469456
P,89.84389054989201
Q,84.72528176781033
R,44.52468530653965
S,50.51676313282824
T,94.57570605565365
P,77.46859531943149
Q,96.32762857363443
R,59.46813328225088
S,71.08370201518933
T,47.00949297294574
P,15.276516292673545
Q,39.77462813717614
R,76.96550552601599
S,41.48834629014829
T,35.617318827774675
P,63.938784045362006
Q,97.06393988163951
R,97.52648245917496
S,91.11290554422021
T,75.3346310078957
P,70.33528586816254
Q,83.9184338016623
R,54.35260091811241
S,62.27865526392846
T,96.46419317772735
P,52.53927224747407
Q,66.95457806263161
R,64.68297676609367
S,92.77497355543012
T,76.79795892183697
P,18.499128544175527
Q,27.95985746380115
R,45.08662939332338
S,21.767773817286976
T,89.56233709584397
P,43.04829303911233
Q,80.7520361366468
R,85.12699173542144
S,48.25762445538079
T,47.24404384947204
P,59.172263638940244
Q,17.20100260160984
R,85.4156064326403
S,78.06923399813166
T,62.350904943002305
P,25.781963318613695
Q,58.2041199205473
R,34.8942760221143
S,62.77166221690597
T,73.66240961906804
P,45.860104468110855
Q,39.01627643666226
R,32.28861596491453
S,65.07473297236626
T,43.38441573983377
P,14.30993051280688
Q,38.5293549564699
R,39.02340924108208
S,70.34683975622539
T,22.682346524987032
P,88.8551756375383
Q,20.01699291259544
R,17.742498519233575
S,67.43909153618587
T,28.50552993796389
P,53.01397225718695
Q,15.201274473978486
R,24.463847130685505
S,98.05009154025352
T,99.35073062824499
P,94.59212328439476
Q,12.8848354116586
R,24.423864176856
S,94.04902542009904
T,10.675121193573512
P,31.029243749210302
Q,99.2232958575639
R,41.43831525939914
S,67.82406109105179
T,51.24210735807238
P,38.436094370920266
Q,69.1946996949382
R,53.26899444829751
S,93.4116232805822
T,93.81050092511704
P,80.05518469639124
Q,88.60593399647757
R,63.55692330853065
S,74.49344025037404
T,80.94810177728687
P,23.773330899585194
Q,61.75426749695316
R,71.37282657312439
S,68.5651644162364
T,96.13913243720951
P,88.11262751237142
Q,84.61575762115802
R,11.95210310701897
S,21.66644037350123
T,11.652636708923445
P,66.26175881821791
Q,45.89846445205986
R,41.31208664265364
S,18.306367616328835
T,20.190220558960505
P,36.0344640262006
Q,30.429794365394635
R,92.18267389965229
S,95.76922895428551
T,39.62505684767707
P,56.193734572378844
Q,14.291626411839744
