label,value
P,32.28602109238774
Q,84.33429598379676
R,55.156367489335466
S,94.54665274295526
T,99.5681796572615
P,74.80923016258765
Q,16.423457593775794
R,26.40240760218658
S,53.79821956419862
T,58.5158392911064
P,19.739395492037293
Q,90.1103473306055
R,24.300444330648553
S,85.30113937829208
T,51.00237087786945
P,12.321054382695705
Q,26.869190687568725
R,84.83342005354018
S,55.47503736758632
T,79.93692067808551
P,15.85192063045504
Q,72.77967605027466
R,80.29613593944374
S,48.75165661994943
T,52.963139282039045
P,83.54642775073316
Q,70.05228959382677
R,86.57378994005914
S,76.73961026338526
T,89.48808395225583
P,52.22184239524746
Q,19.029970254901762
R,20.503633874994478
S,36.06473359934799
T,11.786624588398372
P,12.25532531031655
Q,24.33162879457342
R,29.225847649351348
S,15.57576451482483
T,70.51096577096628
P,71.22877424601631
Q,15.326910642907592
R,82.55113339771684
S,33.48004891024068
T,53.49732197552347
P,85.60013237347509
Q,38.14859953165113
R,94.59868277883146
S,19.21928797272412
T,71.89999454584994
P,15.764151456794806
Q,15.610325103896685
R,46.377714454335944
S,40.02345265029159
T,78.83253568308426
P,93.07460094647593
Q,11.61748831447204
R,96.59731741487956
S,75.45432143913004
T,83.00897446657073
P,93.8211623108556
Q,10.92272588045337
R,77.46507424114617
S,12.097087178449778
T,49.216031149125484
P,73.70088671090501
Q,18.887652096686168
R,24.454967946330715
S,68.91005115640455
T,13.102027541814907
P,17.616376365140837
Q,16.64553094076544
R,36.928154099294126
S,26.379405480881278
T,35.0748341611986
P,94.66039439999395
Q,92.32863437146938
R,89.83368304326801
S,57.40621397390286
T,46.377180742716185
P,23.34238453524945
Q,21.240654635361903
R,69.98725741905614
S,14.304608355261266
T,50.41318391070476
P,98.12863325723382
Q,21.359692435400913
R,41.242200844852185
S,93.71387541273678
T,26.812084562903337
P,73.37925410863886
Q,25.04964572594688
R,91.4440949360378
S,30.436820753497702
T,30.53531228970521
P,43.250438734260584
Q,51.12984146569774
R,17.497393626953855
S,17.624579303691323
T,37.34302340407527
P,94.94405825689454
Q,46.71090936336384
R,32.86605423288073
S,25.461657521401076
T,60.855569603795615
P,59.86636004174666
Q,66.17131832986951
R,21.255078490334412
S,96.60599099599231
T,26.53438545686492
P,37.66366339089127
Q,59.19633487478819
R,91.21453829090457
S,97.81692922109133
T,94.76681488700447
P,46.8727416698726
Q,57.302904058048604
R,62.187750232886955
S,75.40713372937503
T,19.687013796727385
P,54.28718928412018
Q,82.8914414644698
R,84.49492122638392
S,37.83642213815362
T,53.09795836936885
P,64.78559224970837
Q,96.79407198405092
R,89.12212235526829
S,81.90744013971546
T,66.36531617203065
P,46.79504712037103
Q,32.8840450761699
R,91.70345596926563
S,80.16749431679943
T,61.527909172306344
P,25.254254616838693
Q,28.58188798782027
R,60.73497993685072
S,92.26762319786656
T,81.38112543793233
P,97.68709505972548
Q,38.17598632107668
R,64.07357798601616
S,31.948407550977887
T,55.033654793467306
P,93.8778068714187
Q,89.5980824227182
R,70.16867429982864
S,48.48598714030619
T,62.508219372243
P,45.94774493972763
Q,41.465922285672214
R,74.78191299546185
S,75.2908499131752
T,24.140876962268862
P,82.83442201510334
Q,69.13340915902262
R,85.29601695248037
S,10.3659982893862
T,32.96877146693777
P,79.49133303664307
Q,33.75506877216172
R,44.21416275241436
S,64.2544581250192
T,23.34996768618012
P,52.094235516844805
Q,86.24267204305096
R,91.66793175470771
S,22.01550256782769
T,99.41736035427961
P,41.62669948051263
Q,34.825949314575254
R,26.22847425960152
S,64.03720654716449
T,94.68142124107098
P,79.46041779285684
Q,74.78959715022958
R,20.549370949284445
S,82.85305293097264
T,86.22600130442211
P,50.3456807339937
Q,90.8908436697907
R,97.68820274913
S,19.62215810753526
T,95.10168871200901
P,31.83742941238906
Q,80.92859016038709
R,68.62165467249892
S,27.852479747916238
T,27.654171864352715
P,50.03430306519669
Q,80.70983949172081
R,45.46715803094533
S,18.6058350993884
T,77.50023931405651
P,91.09948743339693
Q,16.291236315085296
R,39.182102746473404
S,64.55266713565533
T,97.60573533406269
P,62.60591128383715
Q,19.561550343730772
R,43.23683126033804
S,12.27792538664433
T,82.60969019677158
P,24.777720539006854
Q,11.708692305277363
R,10.818863945218409
S,24.877128806213577
T,90.42065462953344
P,77.81392379032579
Q,75.02820992742188
R,20.656483646209427
S,38.039002185662554
T,30.841398023762412
P,81.30468829166645
Q,28.521298497720252
R,27.922951834805687
S,12.843199852418493
T,40.80500801940918
P,23.424318898797573
Q,28.66136422989782
R,96.44678818608577
S,88.78897367663467
T,77.2031783221501
P,91.51660498789028
Q,11.18017391806057
R,92.37159538388882
S,22.533452229526837
T,33.144211469471706
P,97.32690382320106
Q,62.365526699469335
R,42.36832940093027
S,29.114808448851473
T,30.08740235957001
P,39.62890859771735
Q,61.837264624893756
R,41.74244689177996
S,19.333052051396542
T,89.36215105810871
P,39.55930690754671
Q,83.45879692772772
R,80.61076324081944
S,57.82500132312606
T,15.673300161755876
P,41.18952569335498
Q,55.28104340445809
R,69.97251788325238
S,45.71571160517909
T,89.85303052972736
P,96.29202957061864
Q,63.77856072676316
R,52.73520004040282
S,65.82509178874753
T,72.36850583815114
P,55.09959877707402
Q,27.52039288540329
R,57.26570215713714
S,83.92219026138477
T,72.22511071121332
P,35.09157824145218
Q,36.262540956461294
R,83.80441723014964
S,98.19817998394338
T,10.760189164825945
P,51.45933054891049
Q,38.22219347924931
R,72.96087328827372
S,62.333409786147065
T,41.184942780019895
P,89.73665628037381
Q,58.86338481269253
R,85.03333327185018
S,89.46488454438705
T,10.00536909515772
P,61.619303467739904
Q,95.69210274259844
R,66.9794625770751
S,52.06056245581366
T,87.67166140356282
P,79.46942685492391
Q,89.27417266926452
R,86.13539478063542
S,36.553519625510546
T,85.01913284025123
P,39.37883085186927
Q,77.87867150990881
R,27.82583708248242
S,74.55534012972058
T,46.34352196734428
P,15.78036690653645
Q,14.022138726088697
R,33.70843036679872
S,76.92739285146506
T,25.158696209010746
P,61.7161855799276
Q,32.007299630753685
R,21.980097836606284
S,89.53329143315858
T,22.757238349025986
P,12.369583854983372
Q,10.137977256336253
R,96.43308240677078
S,63.17865306458245
T,63.58762696335896
P,30.665429857735745
Q,88.13653245790326
R,18.068673549571404
S,41.52287431207829
T,77.44225128368252
P,96.57126654150967
Q,89.35884187119011
R,70.42537486210917
S,52.97032381460279
T,33.1673841749705
P,91.41326872001625
Q,16.563769764994746
R,19.535904634997287
S,75.78040904012404
T,76.61633972077662
P,20.95241758336016
Q,80.06555094122744
R,47.416649150230676
S,83.00369425716556
T,89.97081778306723
P,83.55595556371742
Q,28.8002360103702
R,36.19808574974381
S,13.101512676112534
T,77.95793543416507
P,53.3320890384916
Q,86.04675379537994
R,31.528801135381542
S,90.87995519232182
T,99.58954609686872
P,40.805469786358906
Q,31.49663062890051
R,14.116903387862553
S,92.26794884650215
T,36.779682327454935
P,46.24730373131494
Q,86.64259298473996
R,36.46672908573517
S,46.52288051407673
T,27.64730477287612
P,36.317859018553946
Q,87.33129224592037
R,34.001789777953675
S,82.60988657619828
T,73.1376459066027
P,77.05931246820603
Q,81.34205953274945
R,12.343070346562428
S,34.84995284318679
T,89.65987070036319
P,66.84713404721684
Q,10.42282206899851
R,35.70797250428349
S,12.944156666346737
T,74.41458135218039
P,51.90361341450241
Q,54.03751067229107
R,50.94151344556071
S,79.9767160050339
