label,value
P,26.971781592310773
Q,87.76029699871573
R,23.921538771790203
S,27.12433218726137
T,78.43184965560866
P,79.58966317970545
Q,23.469119339708595
R,52.58246908318437
S,21.037764815721548
T,19.27795042166925
P,65.53079074788243
Q,77.30098957794287
R,68.64915242901452
S,77.48884936549142
T,71.91579009134404
P,93.16435384574669
Q,14.894418881231857
R,26.92620231484651
S,94.74992393014203
T,24.73920521067457
P,88.97084807088767
Q,66.47399849630406
R,19.609906223619404
S,37.42852715677992
T,10.924450336979955
P,35.60046316831175
Q,34.62490970105
R,48.26272651830956
S,57.07362404200584
T,63.64701690559142
P,98.29175068250117
Q,89.68862828539369
R,75.36304809348464
S,60.52498036732894
T,83.9300350053194
P,77.73029894111913
Q,71.96908911933443
R,34.24145738100894
S,41.274625039909765
T,73.12431811267211
P,97.45552088865311
Q,23.76573012689898
R,81.23565560207048
S,97.64905960915249
T,24.94662654659435
P,76.6052245513037
Q,58.86516837510967
R,98.31468634785787
S,36.98791944535152
T,20.301790079229978
P,44.79718037491328
Q,10.805705278731624
R,93.1059009339538
S,65.53744400782185
T,23.836090766474243
P,61.560118097556504
Q,70.39362238547373
R,67.4543025885964
S,65.19567964686368
T,70.952430019421
P,38.28280751804428
Q,58.496633121150055
R,66.93313877875867
S,29.396535930719562
T,16.489888861426696
P,16.56384315362203
Q,91.31503070334509
R,55.72382280070582
S,65.21351687408739
T,50.32428874262732
P,22.002857287065986
Q,23.45901637977413
R,43.593556640221834
S,61.05817879083504
T,27.728650640105275
P,20.91921574704128
Q,33.02272178804827
R,80.94822752736472
S,64.3930955879259
T,42.39558363472939
P,50.561630752708886
Q,56.49781251859635
R,62.378743782571426
S,23.064357219273475
T,59.60045929161649
P,46.1492465182152
Q,79.51746064423973
R,95.54159507011552
S,63.31789060059039
T,25.453525156175044
P,38.14186408372875
Q,71.7502749424691
R,89.89144222954071
S,46.72447839530262
T,37.93791999207775
P,71.94726753008075
Q,98.87943350097444
R,86.4720095993821
S,27.83359187372798
T,79.48892181448375
P,98.59241002828053
Q,70.41672261432424
R,93.0504675869789
S,13.291307923484428
T,90.08695779505723
P,59.84416292031121
Q,53.78772755612758
R,62.038266590156375
S,23.987289316997632
T,84.60026245637799
P,76.5518221306182
Q,99.40627752107635
R,30.442760099683163
S,25.875877080186502
T,40.407373237013545
P,75.37466523124255
Q,82.65765268967102
R,89.02848052144844
S,18.17927456992586
T,70.85069170296654
P,86.76531414374129
Q,18.785466553437054
R,64.21528524544308
S,62.8355837285653
T,26.231060922145424
P,81.85396894964641
Q,31.95982788908435
R,94.70411028349702
S,73.07483582797633
T,54.528844792427535
P,39.313401857100814
Q,35.82158901407992
R,70.58236078484907
S,25.302941670111554
T,38.23701272476724
P,30.15454592467111
Q,72.85634703746601
R,65.05148154587631
S,91.56990257869094
T,70.15410799514461
P,96.3006702002933
Q,57.66852330836989
R,88.02439281401213
S,57.96659255821971
T,90.48464841699253
P,55.68060284049984
Q,83.80643264865344
R,46.49993484671885
S,39.753384018321604
T,85.1956285397921
P,26.032174995706548
Q,60.35683912742828
R,31.1707759195526
S,66.67322145954472
T,53.24879951948443
P,39.7857771197191
Q,88.43492394077607
R,30.134572208640318
S,65.99715453834304
T,85.52124067916702
P,12.109232783973326
Q,34.3207447097505
R,16.664750192423995
S,80.04831042148551
T,45.04526488938057
P,20.05845298549335
Q,69.92320809315258
R,55.11136619204019
S,35.273552601399686
T,15.93013773759536
P,44.395470508006035
Q,40.478938140771895
R,27.07190579425028
S,30.574216103630803
T,86.60063296808444
P,17.11002307200899
Q,46.88132010910723
R,66.17256111409392
S,22.18121717994569
T,18.11615551633558
P,66.27870125647618
Q,32.46985702979237
R,36.92910751704093
S,74.78052800091638
T,86.60591155017082
P,25.967964902449747
Q,50.570787547907486
R,62.09069452486445
S,10.347248589614349
T,14.462122108693631
P,67.2423432178033
Q,31.18074353280314
R,79.0864023267508
S,46.42756777864617
T,95.11698436392196
P,64.86815022174676
Q,71.56227501088169
R,24.856431111493837
S,89.60866605676043
T,88.31973493507951
P,53.125666576813614
Q,30.98329009604146
R,97.41861448511843
S,15.475245098591039
T,21.96053674068944
P,81.44709694992265
Q,84.22180046393625
R,26.473326492991198
S,16.61481873154815
T,66.93939955358982
P,44.578892720386484
Q,58.524154189467346
R,13.796301128032338
S,36.24402458336421
T,49.95943671827455
P,59.0847366168783
Q,23.207352837655435
R,51.66069957574147
S,22.400813875826834
T,79.30090641120412
P,37.32959885654737
Q,94.2955802929857
R,69.93206975932512
S,84.96265983561875
T,56.14323641531322
P,22.96433629154209
Q,47.8805947786075
R,97.80879232446621
S,63.255406912665194
T,47.921266479527205
P,92.44131330252904
Q,21.121518704542623
R,99.21817767692727
S,26.179180667264667
T,30.90842893295095
P,87.87893055071396
Q,44.63126162621276
R,20.876569323709084
S,22.276359358090343
T,88.19685187819853
P,71.2505601817088
Q,86.15422054322137
R,82.8345534519298
S,68.42173785572085
T,12.285865204110827
P,66.92312486317117
Q,64.64740277212624
R,19.007994399341943
S,54.32406268035604
T,31.50946336795117
P,74.19990632291221
Q,39.556819782365274
R,63.52396769818122
S,10.254777819207577
T,66.32561075084817
P,68.44680932768195
Q,55.8283312307833
R,85.63166731429583
S,96.98390169665943
T,43.21048693104771
P,38.951176522240274
Q,39.27014958508032
R,59.09037018751571
S,52.88710521154221
T,79.14935091822174
P,10.108128479585549
Q,79.06426796820426
R,60.363930266263814
S,84.94055507408565
T,27.044936176536652
P,25.75320152207624
Q,33.77963315444107
R,99.13762708437945
S,29.320551339542213
T,58.94903508071844
P,47.9064301311653
Q,91.20938369468573
R,87.02209531850256
S,67.08440451598936
T,32.80580434713234
P,77.76645501122843
Q,71.13789294767844
R,20.935498853598165
S,43.43633046332853
T,68.55314765044123
P,61.53274866407087
Q,70.09296886942565
R,81.89190774981022
S,90.75421822967301
T,15.235191806984988
P,42.62964156171968
Q,76.29310358347817
R,16.553294176504572
S,63.0332034166398
T,49.892544693653484
P,22.303588577154958
Q,82.78933116499509
R,14.914461306326686
S,51.586703683940414
T,65.90293393281704
P,36.767364874054316
Q,11.85603028189671
R,87.79341544965345
S,94.45233344316388
T,87.47673368628107
P,28.102919010097086
Q,29.15769828034086
R,73.02035097803213
S,81.98540509412034
T,96.37284310603148
P,50.40735177378388
Q,38.12024671268813
R,62.43397062193632
S,94.09343486695602
T,36.35109625491167
P,97.74870121984331
Q,26.38329175311709
R,96.27649103408231
S,92.45170590040074
T,55.180697134206305
P,91.8455721807568
Q,60.975585313153736
R,98.39356778714819
S,92.95154508841765
T,87.7637329787646
P,91.42503114872208
Q,41.754796517192226
R,69.92154210384993
S,15.256278989723285
T,59.0728604467841
P,57.08305847057353
Q,95.86560826692569
R,96.65649574854635
S,50.339300281483126
T,16.45432416526147
P,53.8379411195557
Q,16.843566994613504
R,23.128834276285836
S,99.1583645564046
T,70.128746281469
P,30.950561549419213
Q,78.28613728226173
R,80.43290873257325
S,69.58961648884986
T,66.55300044412866
P,72.71276252270138
Q,50.3627614661983
R,39.635493157423454
S,57.30150838749065
T,27.826792657372255
P,16.5653284359529
Q,71.4078184371265
R,63.32367285450701
S,24.57605788781777
T,45.69142904452544
P,57.60425026409109
Q,87.36995372357794
R,34.71208819444048
S,39.12100765900112
T,99.03707678065821
P,33.59918145642721
Q,24.207919071737784
R,88.69531950047094
S,21.303766519743586
T,13.967418703735301
P,19.20406487598129
Q,39.00246211236815
R,60.91806166550881
S,91.13625048334693
T,93.77046951447855
P,14.784630180705195
Q,29.35151107976916
R,19.183935508239742
S,70.21947489685844
T,37.13085227462078
P,48.25497945097794
Q,87.21105879710207
R,17.736128029380577
S,40.658774284296115
T,28.94634582544568
P,68.84842472212996
Q,38.092790021600884
R,44.91230472859163
S,76.21525599101098
T,44.147051692186224
P,85.25136486859253
Q,50.21979348438239
R,93.93280652302066
S,20.548849942193943
T,95.95826030384583
P,91.62878431607918
Q,95.5068939325253
R,34.126296938672496
S,81.49264145801679
T,41.45173280094554
P,35.531474620751034
Q,42.45996590132466
R,77.2614211168897
S,80.3541909665517
T,59.928995313926556
P,15.835901049519434
Q,19.568753284631946
R,58.891542854885344
S,81.91249752462556
T,72.39962456559724
P,64.73657901350875
Q,53.55333467895752
R,96.79731496217451
S,31.86478065743322
T,92.4578203356705
P,58.99880474258828
Q,72.62838645134143
R,16.10290956423126
S,72.28660929664697
T,71.02028970880887
P,36.974792124043375
Q,98.48072805953977
R,71.15641906370128
S,84.47639786827874
T,77.5855611658979
P,78.10831360432465
Q,90.25852497001692
R,19.583638203039115
S,20.435232610215394
T,76.30081715280824
P,35.95297875077599
Q,75.27646522444546
R,69.40806598478511
S,27.065695453100773
T,68.98102070176805
P,13.231735906852311
Q,55.74798767212855
R,24.865115194306995
S,92.76716029876559
T,79.27031148503096
P,57.52424800685636
Q,75.52924811521191
R,93.72232952819289
S,52.811334619292715
T,34.348994516389396
P,19.218076325939276
Q,33.521012524208516
R,19.226033323943582
S,74.49441349593876
T,16.530774967275185
P,46.83157643527275
Q,41.41560040727822
R,15.50328138027398
S,73.19188345821429
T,69.19095001097487
P,40.48555922189526
Q,29.75564913279649
R,41.8055865301497
S,45.1093458399373
T,96.14553032761587
P,67.12602401672102
Q,30.601666196499956
R,30.50570961876548
S,48.99124322729439
T,68.07989097844478
P,10.612524165231742
Q,52.61365479372063
R,91.30243530707497
S,13.778657151204893
T,19.271832653561724
P,24.38581997665935
Q,53.948382532444185
R,16.442298448718873
S,57.9944940513776
T,33.56800663015475
P,38.12792237229996
Q,84.23670076735459
R,97.11135681108915
S,24.79446065823806
T,69.4434288917787
P,28.28323189126744
Q,36.07025298810315
R,44.65812041288214
S,53.69785994553899
T,76.00825518083172
P,77.13838490290668
Q,84.23132185751244
R,42.888818091270224
S,63.215734154489866
T,20.67063242425329
P,51.66741002469012
Q,83.28783865136985
R,37.32170694447155
S,64.38187508616456
T,66.15465253723639
P,48.90708998737176
Q,38.38071349123844
R,60.588282489809764
S,67.61329896784122
T,56.92376022778911
P,52.964023125066404
Q,34.73559797511493
R,19.180345336633188
S,58.79109689561121
T,91.6269198241934
