label,value
P,94.55528059425475
Q,81.79105597563779
R,88.03608095247273
S,98.82479576823046
T,27.238165506841852
P,42.417042670776745
Q,20.288437881418815
R,13.843079642366789
S,83.13623682450921
T,53.77609358265333
P,75.07610098339781
Q,52.21583345451142
R,62.00447047914506
S,26.004696600955707
T,79.04440662331133
P,94.28555353971589
Q,37.02093905608407
R,80.6375073364207
S,97.95261548420712
T,35.05766647551944
P,87.00722021309385
Q,36.00325500904277
R,45.08295976261203
S,64.58594540045237
T,50.89197305101735
P,30.547936118342488
Q,12.89425824846116
R,40.92426904118038
S,86.70364809341271
T,23.37145966615271
P,24.682239000034514
Q,45.638942492338614
R,40.81037764399767
S,43.93251464151264
T,84.3779234705581
P,13.982462706728729
Q,82.46202343812206
R,76.30290031451892
S,29.799669491543145
T,48.44994515686394
P,49.18010101378972
Q,69.57232402746956
R,84.69777120893679
S,58.049295202167194
T,96.09593539746726
P,97.76660634917762
Q,45.98693280187549
R,10.53271840169505
S,69.18820374932383
T,63.48930968934052
P,67.506064129447
Q,64.10951335109326
R,41.59817193248582
S,78.03378354639601
T,24.707779367260944
P,94.33465296131529
Q,24.285650744378152
R,43.04584647490616
S,70.17998737445163
T,45.69255768219016
P,25.327475117053652
Q,11.34203609368379
R,73.4228433936266
S,32.73536139595153
T,13.700521163373764
P,55.845750438817106
Q,59.58346476665193
R,88.88508460930842
S,64.82643473021119
T,47.38525158747161
P,19.363672793451798
Q,99.76115432847087
R,73.73367717237227
S,25.567422259516018
T,58.860084100666626
P,68.23119539744204
Q,78.1735381446853
R,19.445772137495588
S,57.10483233261672
T,33.494543728790376
P,46.628753627522606
Q,83.29873874699429
R,81.51852294209861
S,92.40460756929275
T,76.56239287609337
P,70.31777914722855
Q,25.548550518262807
R,26.97338658729283
S,88.6607149740397
T,74.16122138841929
P,99.9027132273825
Q,36.08669670434092
R,52.313351639243315
S,87.82665196484847
T,90.97529960435827
P,75.57229720212796
Q,68.70798976925586
R,92.29805171944211
S,35.05234592409667
T,32.56253950393156
P,28.64596528372137
Q,37.619894139029554
R,28.793075790268656
S,25.165324425289132
T,57.587038799350324
P,23.445553221629698
Q,21.109514974279882
R,60.85004179925205
S,40.08869258932551
T,16.685027877377347
P,68.66574374812201
Q,79.22317122470182
R,55.14363473182998
S,84.96808740593939
T,21.88683397884494
P,84.8149801618395
Q,55.442140808631954
R,60.257234898378464
S,75.58092186362445
T,46.90949413497593
P,74.14582581981183
Q,98.69698281480963
R,49.23143087388972
S,13.330060015134036
T,80.03446470529597
P,80.84126766531928
Q,51.236898803476734
R,68.5641218629797
S,19.28033181389104
T,79.3451355082788
P,92.76686800725345
Q,22.431146484886312
R,18.440634876781445
S,65.60674098446883
T,89.78348831161662
P,94.21961958548945
Q,17.62614948008376
R,38.13457522065865
S,67.02001901955353
T,17.042802754225384
P,31.886845369843382
Q,33.144161693232846
R,16.597066866567456
S,86.73873715659427
T,87.19719950847761
P,60.310794352042855
Q,82.58422727339563
R,55.252641661640666
S,16.434164232003262
T,14.901336507604125
P,72.76395852664484
Q,21.219699470835508
R,49.360721747395104
S,40.16845289450222
T,93.33607162166034
P,43.4043636317106
Q,86.79862508133459
R,73.52910927046797
S,29.585584050292965
T,91.19916427039543
P,62.33281270134305
Q,48.43561904002561
R,56.34511840212904
S,61.407375451186525
T,86.71442366147633
P,65.46864068706375
Q,54.71292454271253
R,21.096188388471184
S,89.88795360788937
T,73.65939257376542
P,26.807450192973945
Q,37.58606114029948
R,65.33342530181714
S,14.085102413844288
T,48.962499035677205
P,75.87365219724143
Q,10.462737458361076
R,54.178222936057026
S,99.49475208705913
T,71.63145143744343
P,66.4539687120893
Q,12.748191083546423
R,12.930855796817102
S,85.8285641677574
T,13.925464118686985
P,92.84889512906142
Q,90.58933188000313
R,70.91883462498669
S,66.02071187529978
T,10.21096617262741
P,60.91595151273749
Q,17.081335818113452
R,66.60608065631608
S,82.7911164272548
T,81.29673066373482
P,31.895571002083148
Q,38.36001699585616
R,11.037756227834791
S,74.92920077204228
T,23.740353750366737
P,60.5830277792305
Q,79.6679301380117
R,85.11481503783183
S,20.30482643135271
T,85.95985522074557
P,99.9156242200873
Q,19.639405957421488
R,52.41490425999918
S,30.766294245313567
T,38.36885560503298
P,74.78542234371243
Q,62.470852082620766
R,60.841871344820426
S,77.93652961001969
T,59.16531690304661
P,86.91268549574276
Q,68.04697336432815
R,42.27420337731756
S,61.74243273628792
T,61.26516736391162
P,14.8902689800811
Q,41.36434591349594
R,74.9151893082817
S,50.44903857885718
T,42.509424834691686
P,48.98002046189334
Q,74.26293667353977
R,48.939196087362376
S,75.1088473346456
T,84.90845004981398
P,84.02342013528042
Q,52.14577174797044
R,58.9394428771995
S,18.824292041090125
T,93.48070485048105
P,46.662122877018575
Q,43.37344878777956
R,36.22865669002138
S,77.64080412321746
T,62.108902878808564
P,29.27362949026093
Q,83.18150606664389
R,72.97065694537484
S,61.97291114046843
T,94.88680357624459
P,27.22463018540362
Q,14.060361123964782
R,90.91867219109167
S,54.787298985819355
T,83.06953950789278
P,75.68230691558367
Q,59.475769817252065
R,22.663226199147626
S,29.596351145402476
T,37.0009476002799
P,71.28297312816298
Q,68.45659172143814
R,52.93463980625276
