label,value
P,26.42121389680865
Q,46.28479253025952
R,56.467297177139926
S,15.406914391045156
T,45.045934289338696
P,74.25850110366834
Q,22.1984903150615
R,93.40507696552554
S,95.24270670816382
T,75.44781522297296
P,45.182152191906646
Q,13.574194765583474
R,20.19209632601291
S,88.24195216299881
T,19.503069169565812
P,26.841093088427403
Q,82.23700022953032
R,19.113563575565692
S,62.160170704304115
T,82.47448969932567
P,65.7866455956554
Q,24.58046611094945
R,75.08133408666939
S,64.31877203548336
T,91.94664799534732
P,82.42480404373514
Q,12.374111592804812
R,20.20149025334681
S,74.16834867561536
T,78.91375547958755
P,72.27162423846417
Q,40.11741585632117
R,51.947123243949356
S,26.834615147119784
T,36.62356145162843
P,89.39875208933904
Q,72.35735374742438
R,13.919877493005242
S,39.55786474488627
T,64.57906212479404
P,89.27549950557844
Q,87.01143897005716
R,20.48228637303466
S,98.00116674775526
T,94.99833705144545
P,39.63815989570281
Q,68.23342744930807
R,65.70426747527682
S,87.67329106748947
T,53.863849394733165
P,33.066636308767485
Q,85.43953858559631
R,31.892231600795974
S,45.229952332939654
T,74.13937536913063
P,46.49661586254851
Q,36.70062617712627
R,90.51152202482322
S,83.477998740655
T,88.04950109434259
P,29.769401412738684
Q,12.810337065133009
R,70.10195567582434
S,58.33657486577653
T,37.01363649180371
P,18.884178221453332
Q,62.574787583402234
R,98.32280930992486
S,86.35149394904539
T,20.43759351343305
P,49.0335244324087
Q,28.474882313762105
R,16.46389346822776
S,73.73913118214284
T,49.81842734818715
P,59.172168640529804
Q,13.573792936261647
R,44.91188476138246
S,27.222722407147497
T,87.92995311898652
P,95.79762770308875
Q,50.676074078534256
R,76.52944089161389
S,61.34339897528103
T,34.941709003304396
P,67.51852644901436
Q,49.533842729288196
R,24.823622747659208
S,68.048273182002
T,51.36493879384408
P,38.873076131636736
Q,88.27142499901343
R,32.90073734036764
S,91.6035481303726
T,97.46713937542947
P,10.155931202452184
Q,26.238699406418583
R,70.78146942211669
S,87.61065068515218
T,17.060277257977454
P,47.306741285512906
Q,55.57842596114359
R,13.815151202326613
S,37.89980543161791
T,38.902032171203146
P,50.945889743315526
Q,72.94261311188055
R,19.39963064961917
S,51.73971171006038
T,93.34673868285446
P,62.359308932791215
Q,41.6705465742522
R,50.068493756731534
S,53.96580376068884
T,99.84451357946196
P,45.043798349852494
Q,58.30297659523398
R,65.8494432995312
S,55.1349688661755
T,56.892020819643825
P,41.4243985120877
Q,97.07203586887529
R,73.37306098199355
S,48.08237593369304
T,36.2498427369191
P,39.52251814720462
Q,91.91514455856525
R,96.62197351773554
S,75.04870318954468
T,55.49034545278158
P,70.89916306843628
Q,44.956257479803874
R,91.52237664683065
S,80.31588980887327
T,15.91544769689262
P,88.45578002393546
Q,94.20009343648282
R,50.08200394607721
S,52.60859322685956
T,49.70169508491853
P,22.33621365668084
Q,12.065301908240636
R,90.01147607230428
S,24.15566458759551
