label,value
P,11.543956257231375
Q,13.666902104903103
R,34.55062738892947
S,41.87191363743587
T,78.38892573995547
P,57.91600769736624
Q,31.408989172196463
R,23.997549993108215
S,25.716358150041877
T,89.98391896253811
P,45.8731346488646
Q,71.23286912313378
R,44.77242159752028
S,60.128989226418554
T,69.02574590421943
P,55.98621923643747
Q,84.4635572477673
R,78.46415227085393
S,56.841255805769485
T,28.37645753508776
P,34.905719028278554
Q,12.11435141903969
R,24.664683906825623
S,57.3642241404071
T,39.69131601824433
P,78.54910450554756
Q,74.33693305608418
R,79.03506083009728
S,93.22999059685289
T,73.6857895379128
P,50.277128284277055
Q,30.892066763017382
R,49.64058214342138
S,84.90737289882173
T,41.222523548206965
P,86.50832774523069
Q,40.02670376471506
R,51.674817380654375
S,98.94546546968965
T,33.39175286921577
P,74.2958554585339
Q,52.8885503103191
R,90.85588241393046
S,45.02272146573343
T,45.55373830865759
P,69.23804951162987
Q,18.184076051330173
R,60.35576671269183
S,55.04447311769885
T,82.59477619734214
P,23.533276815995386
Q,54.84666562305598
R,56.60576601841041
S,80.6007728580102
T,27.916246080936254
P,36.95908465246955
Q,31.09828568343281
R,49.89968947867565
S,65.58403384993485
T,33.986650570487605
P,71.09300463743355
Q,86.75949480150094
R,45.795927437130125
S,72.03342538907384
T,86.05422692734808
P,91.91874877906149
Q,93.72493789602802
R,15.086482170084775
S,69.23157895321668
T,22.50499209910441
P,75.32999261187484
Q,84.43273714436316
R,33.509330103902414
S,86.15372444275316
T,30.461304402292814
P,50.50663079314266
Q,68.12458079275412
R,43.41629772131746
S,99.00006283379243
T,34.382053233665076
P,85.65817463085904
Q,42.1038169503258
R,55.55457244071805
S,99.4877419155408
T,14.712645197095345
P,40.557340100052755
Q,60.62814921148423
R,32.29549720369381
S,47.98486227880013
T,16.244697632203465
P,81.82707449169676
Q,92.59749617422672
R,79.29809675277764
S,84.79374847161098
T,11.525892285437296
P,93.8402541283959
Q,46.52189243865135
R,23.800080964211475
S,15.134729247492153
T,27.060848273637067
P,60.89328624843855
Q,60.65349265654561
R,91.74148418644332
S,99.92321301456363
T,59.34118926298557
P,10.1374777809761
Q,99.39996464077086
R,58.826082012264784
S,63.885824328527065
T,66.3396263988234
P,19.34392510755002
Q,43.98835766323852
R,37.237018773030584
S,31.697685088627324
T,15.152132222587227
P,26.482792294864968
Q,26.81344309302994
R,20.174330180073795
S,87.78619073298256
T,86.47642400239015
P,59.08768966614261
Q,39.899077316684945
R,79.81585425558937
S,86.8123690412284
T,28.45555820253068
P,98.35441167770114
Q,39.168472666721385
R,49.03151085431912
S,58.00328989080379
T,16.08458288809652
P,84.77862549888718
Q,41.720819710279216
R,29.47009906539393
S,79.79285811806325
T,27.977434664763837
P,92.02086290918444
Q,60.709565235299145
R,39.97008050718969
S,56.646595476166524
T,68.72769730016012
P,59.65796316948731
Q,51.35886891979532
R,28.941588757640826
S,11.61555606230452
T,85.7930260437118
P,69.3047941521918
Q,53.04268526090825
R,84.46601270846425
S,58.55149802762979
T,60.91756100260174
P,86.31080966376831
Q,84.94603462173212
R,89.96075518702447
S,27.20452515475362
T,68.64025408105157
P,14.808104425467945
Q,86.89265524446019
R,59.25165952574185
S,24.847244727878785
T,47.29765401806312
P,56.357888584900756
Q,78.27962321832342
R,67.1643398629013
S,26.46774008836479
T,43.34046176532686
P,17.240532235369727
Q,89.26979551441612
R,18.30675079722541
S,59.48047114598507
T,16.22847159343038
P,96.17916847737267
Q,44.51252955730483
R,42.0228817064774
S,29.561912792934887
T,14.708311051527582
P,30.867588191068524
Q,96.3643323982118
