label,value
P,98.82948505730778
Q,30.24942142755954
R,35.96723167532515
S,55.0346132415166
T,12.766210786500299
P,38.6737680942443
Q,69.43088047498547
R,52.60244942895549
S,83.72286157635946
T,86.43706552219666
P,27.293586812309265
Q,34.31310259409483
R,87.92789656617987
S,95.63132016028004
T,36.11739230649421
P,88.32150454028412
Q,39.134009772528756
R,56.30910929671606
S,30.616206034613317
T,16.08198122710524
P,16.004683073515146
Q,37.55292623352369
R,25.844722226824004
S,46.99741766591252
T,78.11840280533396
P,33.92650475524898
Q,23.540325461688546
R,37.73378265960205
S,63.033788079337974
T,11.791244784100941
P,55.253514627186554
Q,69.42699552367199
R,83.78582696831853
S,36.27604574325988
T,46.475800908090655
P,86.61524904166994
Q,92.43914607644463
R,92.74828579401603
S,51.36201982763129
T,18.229359088887318
P,22.404500578091135
Q,62.76397299492188
R,64.20965820937735
S,36.968342723930945
T,97.21277158684663
P,67.9597432821668
Q,24.684904770138434
R,17.67801187119187
S,82.29102251571362
T,52.52189789665816
P,87.02180288510134
Q,93.60013202191415
R,51.362212527354764
S,76.18205882868567
T,64.93564232925786
P,75.34499301397813
Q,79.32211981432326
R,69.89868238847203
S,15.680387057223282
T,21.13388265165423
P,17.34022846670257
Q,49.8639536195938
R,46.33861718988365
S,59.949372340868315
T,78.29286540103024
P,45.21459351090734
Q,82.77019436103156
R,95.05492505198839
S,16.48924724771187
T,89.93512438645399
P,75.36762588699547
Q,70.64395475500842
R,35.2119939123467
S,94.5940924004078
T,51.16613573954369
P,70.83633833454607
Q,90.32954355478148
R,43.70416495970826
S,14.716971117486626
T,58.16430867024601
P,49.51827299189499
Q,18.61589376870264
R,77.0572241429653
S,81.10489729832913
T,65.50288749330542
P,43.48462170810901
Q,10.531304239626763
R,83.25909829086179
S,20.899173342385033
T,56.07565320950683
P,63.275598028684676
Q,63.76878289995673
R,42.90215479390819
S,89.16583300837524
T,17.890921688935144
P,84.12572535849273
Q,83.29226922531616
R,60.78076921347828
S,44.22429536866941
T,94.40861688431609
P,97.71126652173541
Q,48.5803695519092
R,95.22859742700116
S,72.7273113642061
T,59.46287856966495
P,16.61828757746317
Q,39.460547010118916
R,57.2985322303606
S,23.002396578711107
T,11.020746919604404
P,11.287980538121815
Q,49.33550863290402
R,11.008194803717696
S,76.71312161853416
T,27.096814236544148
P,28.89087202372701
Q,52.852976081099605
R,57.72271930057854
S,88.88954857649682
T,47.97621425265031
P,88.92021728034929
Q,27.80057816232565
R,84.15879651625183
S,36.15870718964599
T,37.61921894861749
P,18.377503487058007
Q,99.72016407734029
R,70.59201394794653
S,94.50483260103209
T,88.5518317717196
P,48.71566976481388
Q,60.27595185325289
R,60.57910943141768
S,48.20524919586817
T,57.447511013554525
P,21.228555824003777
Q,21.463243681832537
R,47.14734685460523
S,66.27383243066542
T,47.209523202558955
P,19.511236637332537
Q,47.37409713815834
R,63.50681905378964
S,32.96777337075612
T,12.362849733515697
P,78.73061843354921
Q,41.301590792028406
R,70.10745710458364
S,92.14146175999873
T,82.8995942909846
P,30.251225393651268
Q,24.221847444950992
R,36.5284681807276
S,59.774755741372424
T,55.62543120703956
P,90.22139185378983
Q,26.494463083878784
R,97.11158612173367
S,68.45066967604231
T,72.57251304544184
P,73.47753065778619
Q,14.425930328611
R,83.41307265211653
S,32.70351741808575
T,84.71677404540748
P,73.37635588622578
Q,49.31764086935626
R,94.97280910965233
S,88.21924296258199
T,15.781764592825885
P,39.89578224926091
Q,38.14134538269415
R,97.82133747944351
S,15.547068441870529
T,62.51166111269359
P,88.97884448206418
Q,34.75749771118413
R,32.59116177086652
S,30.269245980972453
T,26.700372336785666
P,74.55122311856896
Q,12.37327194587141
R,11.62978077111614
S,74.64167247522055
T,82.83904481806888
P,88.39512909277423
Q,61.80600053916213
R,59.23899523477387
S,85.6995603671766
T,79.3743196097294
P,31.11813876564877
Q,58.093987992813304
R,64.75360386848884
S,52.44902477881991
T,93.71937409537057
P,19.15566326647442
Q,23.100852641523353
R,78.98694883222325
S,43.321658644865295
T,56.48466698026743
P,41.15511746079264
Q,62.81356145391088
R,23.678152449335087
S,25.690735194314758
T,41.8412248599916
P,11.507759543285118
Q,77.91799341124285
R,90.24217327733574
S,85.44321726745581
T,37.00401684608096
P,58.32758668254178
Q,25.972169908460522
R,45.28114073386399
S,92.00537354253863
T,93.04404957907377
P,32.84696428537681
Q,49.63481135460033
R,45.84542369100775
S,48.66874167807188
T,10.236658414051307
P,48.16319173878437
Q,55.95695108515307
R,64.81852362970227
S,96.42991615765314
T,17.380986385679023
P,57.322347933927425
Q,91.7164109483555
R,21.311755173058845
S,49.625442568094954
T,19.058842033187922
P,92.5216561256625
Q,85.79054009769577
R,73.67922416319885
S,93.25243099580634
T,85.25251642097187
P,14.72949928988705
Q,90.77281909130376
R,86.57587485203116
S,83.5062983420451
T,93.71094291560303
P,81.85876797453848
Q,58.32022392581028
R,26.43172349292561
S,65.83265026616725
T,95.87691180576287
P,65.3032228520787
Q,84.6966517356828
R,45.569063456540135
S,61.27645656278263
T,35.7210610200856
P,51.078260676871274
Q,83.16855374388945
R,27.294503049002902
S,71.86418121393027
T,18.435057138709666
P,47.12086341051257
Q,16.182588515784715
R,66.2077007495243
S,75.04038858373212
T,94.78275354274021
P,63.02012790449605
Q,40.37352293407351
R,41.87454068118662
S,95.97536107593854
T,33.357513752376335
P,93.25455822544501
Q,62.40459302626201
R,75.60071175601874
S,85.38836349357193
T,76.77795926161524
P,90.36378093191044
Q,65.44204111219543
R,17.7086574881619
S,51.08266099393124
T,47.18043091910412
P,69.16687866736825
Q,54.9353673264651
R,58.523775764669004
S,38.94024563945552
T,20.066182791725062
P,46.100733646081416
Q,63.196741240002396
R,45.27436842967444
S,72.8752439406173
T,58.58431341868873
P,82.24330688564059
Q,60.64185574110233
R,64.75134537436405
S,69.71164587475769
T,96.15096301061445
P,56.90107705318389
Q,36.86566823628826
R,52.036437897418224
S,54.630813158964834
T,28.354686562745183
P,52.67579996910691
Q,92.90568628848894
R,38.35748304298567
S,75.1964678448938
T,39.29606115623852
P,51.87488794234564
Q,24.685610395640413
R,33.57258292864418
S,25.551404645633667
T,32.86688189147325
P,89.58412004436619
Q,11.766498512653506
R,70.79497618541707
S,51.39943518812899
T,72.96064118692578
P,58.75385116844744
Q,18.66398524060336
R,68.60439322941198
S,36.99406244857681
T,86.14514714899265
P,69.18641572321224
Q,64.31511128316059
R,75.77177252504896
S,61.95554313153688
T,20.479450358439525
P,96.18502877992356
Q,54.41991910424184
R,41.868054172337615
S,97.4460030513738
T,93.74618379318935
P,68.53961365891027
Q,62.755286246326314
R,96.68754535319546
S,75.42274979494746
T,64.20912914149804
P,39.65683256685403
Q,26.22143396954685
R,30.777883397373564
S,81.27614022641424
T,26.53133788240448
P,17.93338338702577
Q,20.140219939971868
R,84.26383018469166
S,52.16963028053858
T,61.64965641138702
P,38.132601625612345
Q,35.875656546456185
R,69.96267065755254
S,90.72894137540816
T,88.81355337666545
P,94.25846607031222
Q,45.0610318455595
R,38.30546108519381
S,53.92164374436706
T,77.82393037808694
P,78.87802354547836
Q,42.82330057823926
R,79.84981377371285
S,24.894982153733952
T,48.285252226519546
P,30.518869871050825
Q,14.619772129933544
R,59.96636704653592
S,16.324841090235324
T,50.34240721248834
P,80.48438399564198
Q,26.29123414642762
R,31.352977195859914
S,79.06776277686974
T,47.61950854222464
P,70.95603640372957
Q,81.69580569797012
