label,value
P,47.5329310969978
Q,70.70922853553984
R,31.001511207427452
S,50.94741585530396
T,28.977063473370432
P,34.50452252039179
Q,49.20978991972142
R,76.65108839154749
S,68.6621440785799
T,54.37490153613082
P,93.34467877883858
Q,33.908220292976424
R,13.512226990823823
S,81.98076131296331
T,18.07600003311595
P,72.2686470911351
Q,15.058429446140082
R,44.064240876602845
S,23.25622073141487
T,15.977481234188687
P,64.18695364745042
Q,91.48369522193516
R,68.87419145755223
S,22.69179100694749
T,27.628403187036735
P,52.175516917383405
Q,42.91989166850749
R,92.55534480472427
S,56.80539602014213
T,57.71115725433208
P,47.336389120983
Q,84.65815558970505
R,46.73888699552427
S,24.466135828147305
T,23.290771711058902
P,77.32353982342623
Q,53.95701114770425
R,89.3049754316242
S,55.16597515469392
T,44.736890549592715
P,83.5993444025695
Q,34.615370002240255
R,98.06771627318986
S,37.84269506911451
T,72.6196719141397
P,39.071977576900935
Q,54.78344515837316
R,99.42194676343964
S,13.699127620592996
T,28.89147079282752
P,69.88795870758733
Q,54.98015460167986
R,89.37961772881476
S,14.642884202818319
T,84.95713618601143
P,66.33008671314218
Q,97.31958062884614
R,91.53824799751649
S,12.184374248970034
T,44.090877935430626
P,89.78397183319619
Q,25.35089059198104
R,13.448741001613906
S,94.47823787460764
T,24.720872704924997
P,54.801497742755345
Q,20.914406108994328
R,23.24093143112117
S,26.059680169131287
T,68.1889943045333
P,35.14222699586019
Q,94.0270878498068
R,67.5529483391555
S,20.736759158655218
T,79.54511051937045
P,46.70680911563375
Q,75.49009699479667
R,79.06761705077395
S,91.50767944811001
T,11.144441263343316
P,65.86444089233854
Q,99.19080474084588
R,42.68883975251659
S,88.15312709410004
T,91.96193326161183
P,59.50225893010122
Q,86.72256570572114
R,48.05364496412443
S,37.46310197500581
T,38.80611992332311
P,27.290509162121687
Q,27.726789874684098
R,21.607360928816494
S,73.85721471886173
T,61.899888012883586
P,14.498897279899452
Q,17.172151604227736
R,96.80407789584898
S,56.03394704956821
T,43.58433222462761
P,22.203564979810025
Q,81.99036440680018
R,87.6540796085089
S,67.45799494451028
T,39.20317621639238
P,14.554776133326966
Q,91.37650909349952
R,78.07869504035477
S,30.97003585978114
T,80.89686365715761
P,22.70906208022122
Q,58.32372892229506
R,37.664752068057325
S,59.77285344511099
T,27.308940115843104
P,15.462826758995035
Q,35.79290925591498
R,44.820851616476155
S,70.34577670279913
T,18.386546581426494
P,99.72994379008333
Q,18.5758214465138
R,36.60623939418592
S,85.08731370698077
T,30.027748909445435
P,22.201724043308953
Q,64.05079224809396
R,15.958316618455196
S,57.89351773489209
T,33.09027080477124
P,90.81877046167544
Q,40.0095023687692
R,98.94975409791621
S,40.59555543063807
T,96.95224892297082
P,91.73629071515549
Q,93.76828197419152
R,50.62952790760409
S,92.74652379057798
T,91.1299943395841
P,67.5778015903314
Q,25.64456608121693
R,30.135590231731154
S,50.60074369687445
T,19.64291323877596
P,96.62461940092346
Q,20.115505679597653
R,34.91911714162914
S,97.13394043832696
T,79.46470457218132
P,53.593697138341426
Q,66.97689887119765
R,69.44570674709524
S,30.760356405409926
T,65.15985344799716
P,41.91210441098907
Q,61.553322915660104
R,80.60639537650599
S,79.51376596070983
T,40.183850732420055
P,36.89616017854928
Q,56.84581348880188
R,76.15786467591226
S,51.35845445159401
T,10.242348847763932
P,94.58678379071657
Q,42.54272065530266
R,50.7153160532098
S,57.51278327518616
T,19.333580380681227
P,78.3456787101493
Q,25.04319091741374
R,61.815428765672586
S,22.928972509637283
T,31.96447598100006
P,42.22939664460472
Q,79.30767799183181
R,31.901711601318723
S,46.41271979807651
T,84.31480755706991
P,55.33821644139526
Q,13.737233227741731
R,21.47028967944709
S,66.6302293191803
T,90.80366768288265
P,69.17114103063093
Q,83.06310182112924
R,28.65888951691832
S,88.1031888986566
T,66.2303339890163
P,71.93798637345662
Q,27.66811809767523
R,90.89313112687432
S,22.19457082097113
T,37.43739572685037
P,63.91551953112814
Q,83.03470408919874
R,65.12920852886808
S,51.03508852501742
T,61.37047156721515
P,81.30145625508398
Q,66.22544375264545
R,98.89122103769348
S,44.73738735758391
T,27.889372931042086
P,93.43791223668153
Q,16.839025180923937
R,52.876146674820994
S,93.82205425582569
T,58.7813306277106
P,57.90790861723392
Q,83.58966236828878
R,86.13892474048635
S,54.3245467715575
T,55.871702783250115
P,96.65207028018081
Q,38.03377070669133
R,88.76059894339258
S,84.62781581724475
T,19.15631271588534
P,79.04979663168481
Q,53.963097482449626
R,19.83366934345892
S,89.29986995954215
T,14.097168393254123
P,16.167824671451783
Q,97.95483386745106
R,43.17529379374783
S,53.397098647529994
T,28.166871149355636
P,10.307811744569735
Q,44.57060599730225
R,28.571278785502823
S,57.27399682200828
T,37.217982424980114
P,41.84382752676233
Q,37.10052439247198
R,67.32471591171553
S,31.485333317199636
T,22.98097940423942
P,34.00323381620793
Q,61.35305423434137
R,87.08709176227651
S,72.19061946355879
T,23.442654169357535
P,85.35822261407378
Q,20.087757086992323
R,53.91906427074517
S,31.799896663665432
T,39.56131922048414
P,54.30920258083827
Q,57.46507762106589
R,59.31854090468972
S,76.51369446620332
T,84.57531774617479
P,65.35981966827379
Q,98.06898128978737
R,78.30382918406073
S,67.83020902168087
T,62.43821180951106
P,75.00381815986229
Q,76.3323668454344
R,14.518426515329995
S,91.70147002869847
T,71.51374280742925
P,11.895487516865392
Q,85.7499097395698
R,39.751348684181835
S,58.9867987216229
T,54.620643854143886
P,79.05196753688679
Q,86.06851429731286
R,82.67857954135219
S,68.04148561245434
T,30.202236705361756
P,99.52531684172912
Q,50.501269877517544
R,36.850735075400564
S,76.60985905203465
T,82.54909009476424
P,67.87466135736113
Q,79.46305754602494
R,38.59154898585145
S,53.438988084946104
T,70.67294453430459
P,16.521801618972354
Q,19.064228881308175
R,59.75250559631902
S,49.39439272397992
T,77.82191965617088
P,48.72486822267238
Q,72.65067712989753
R,22.190851068700116
S,98.71568544643173
T,74.24791518916567
P,89.13106876933045
Q,18.44700243181269
R,35.899130584561945
S,70.24148522740586
T,76.83852621634036
P,75.64388621322551
Q,80.1726919236016
R,44.97697921878116
S,64.63094102273023
T,87.74982076641722
P,16.98482977096193
Q,17.55843077353308
R,34.32258597091115
S,69.72747261939713
T,64.2468261801331
P,74.53940932534994
Q,22.158119764859944
R,49.21826387399253
S,59.91985079603504
T,15.000070786016302
P,90.81306601985602
Q,70.83270791436394
R,61.586791966896556
S,41.639105641064134
T,39.52548111254255
P,81.31533669895374
Q,81.75129958474031
R,97.74213088720923
S,17.87226466262367
T,20.927299732668367
P,52.69487766387901
Q,30.969278932144324
R,23.5512233240109
S,83.36104792961088
T,58.26778185582601
P,53.65872885376358
Q,19.362299180277375
R,93.24339196211126
S,85.88090053265388
T,28.71374178917197
P,77.78663558652786
Q,18.242736187305745
R,45.21903037005525
S,39.824976185764626
T,77.2293229798346
P,23.414286293954
Q,58.05779217907213
R,23.516165640976304
S,29.788271798262254
T,82.09652757466583
P,79.30319684485224
Q,12.533113280587429
R,18.945819524305563
S,78.291577751996
T,69.96880702767064
P,21.83933390865234
Q,29.205841207252654
R,54.466107425583495
S,44.89854184138041
T,83.32138730183344
P,94.06082225050523
Q,50.73329454069983
R,60.21776057492915
S,57.38562551548697
T,10.930488058274802
P,21.00384812408584
Q,13.147838514152145
R,76.97321337314077
S,37.69256929023797
T,67.67543630924037
P,20.88196394698003
Q,53.27284067956461
R,83.0753286981148
S,96.09478329511053
T,43.7011954189944
P,15.365254808699515
Q,53.86505742671701
R,24.620124556202377
S,96.75755432565492
T,35.70280083601217
P,77.77601938124445
Q,93.08305849297751
R,67.54115720773507
S,27.753798452819797
T,70.68531378870469
P,17.481251691839738
Q,19.2037871327734
R,48.562019427305366
S,40.61307388792346
T,48.749513108982455
P,36.41513170921763
Q,88.75018145422382
R,98.4368634609019
S,72.00639404038257
