label,value
P,97.60576057409504
Q,62.94489288967161
R,89.65568194966389
S,67.48925013049764
T,11.950232403215077
P,38.892826155843686
Q,78.92726160000558
R,28.096292995012966
S,55.1952176942285
T,96.88043845782187
P,19.883517291456986
Q,23.570724645645598
R,18.856753847005912
S,25.980456918342004
T,74.98824982603726
P,57.52356285127685
Q,31.79863663257728
R,78.02707059966188
S,70.54034909555153
T,84.83768463000318
P,95.89827354951014
Q,56.35401484702163
R,32.244416792104104
S,66.43806422117146
T,25.162585897181827
P,75.36589490864051
Q,66.88759980975196
R,94.08211752853761
S,22.025262152314795
T,32.10075309296511
P,57.8331369821571
Q,64.30995539024073
R,64.13460478676569
S,82.94209803448065
T,83.95394761971122
P,74.2290438351484
Q,36.790901889828646
R,53.29087632492564
S,77.2770436706346
T,45.677480997696286
P,88.45981167918934
Q,65.22687098900302
R,50.47017958775512
S,83.650707100173
T,60.74946286310198
P,93.09834590042796
Q,92.07016174894511
R,68.93565167753451
S,43.15751340942041
T,57.8334405309637
P,62.63049579749312
Q,31.058972859098855
R,35.8146682052304
S,10.085239841321211
T,24.213907921665776
P,12.206050524623858
Q,91.81250349263848
R,31.074352678208268
S,91.17549277758742
T,39.06134797651304
P,58.62091708789612
Q,65.46806829825226
R,12.152856391557348
S,66.2185647419959
T,27.75937512580001
P,82.77176786787912
Q,50.45018369674302
R,96.28570182434494
S,16.184571213814813
T,50.8615802131179
P,72.2944999675901
Q,60.32001921213293
R,57.49851987970436
S,57.714737042305224
T,44.40832792121027
P,13.499088682426333
Q,66.31063490558446
R,41.80272028652286
S,80.7873040660635
T,69.60239884893545
P,35.4246626740094
Q,82.29692166039764
R,78.5919044859211
S,13.815443435586763
T,61.61659886491277
P,37.45332746257522
Q,35.19456617787802
R,24.028365164582606
S,14.38907211818569
T,47.03896127521923
P,62.37157713928739
Q,29.3430472283043
R,79.9930100673586
S,93.49351382908446
T,23.66762116489025
P,57.786472116128415
Q,15.99486679733335
R,53.403502538848976
S,34.11142120855063
T,77.68813312989485
P,66.35148497335126
Q,44.7561307415993
R,25.55568103277802
S,41.64958340608888
T,76.49075066918995
P,96.0762800367658
Q,80.21393226054467
R,13.461993620704266
S,21.53616730124846
T,85.63421235288449
P,12.393304127318649
Q,55.902438331357416
R,20.307716360065445
S,46.70712641923394
T,36.161401983511865
P,10.701754083858523
Q,75.97759043658397
R,78.44985332070762
S,97.14895590933659
T,14.136836419931553
P,95.09064588417061
Q,39.7469365296313
R,68.76458992979977
S,50.05356212455448
T,72.01283324574698
P,20.11248878345402
Q,74.72320277557671
R,14.079392883374968
S,40.558041062236335
T,94.76556343815581
P,18.63977996002388
Q,62.5031749855334
R,28.217402355949417
S,49.32920891799245
T,89.52585781462508
P,84.19874487697366
Q,18.374839879568988
R,44.955881814659804
S,78.19145110937107
T,71.6799675814193
P,99.8028503988831
Q,52.957965589921784
R,61.01794555026262
S,68.81617521749475
T,61.007218199068845
P,99.94124038211025
Q,31.95123018309235
R,90.7933569679491
S,42.86165323348875
T,94.66235524938259
P,61.00267915707583
Q,89.36046411114526
R,49.19382426973784
S,22.685282858484854
T,21.466825835691118
P,30.12092103016464
Q,73.80207408393825
R,68.67691356569728
S,28.23225860232588
T,27.628285631189367
P,32.01266443531831
Q,58.178235356254206
R,98.6366503845874
S,80.76838837682466
T,59.02628628870514
P,10.639928609337954
Q,41.61027665485846
R,96.36300085335154
S,44.201285668220116
T,50.19789504349528
P,10.66195413326605
Q,19.315213435609202
R,11.493864236044608
S,54.550505119951694
T,46.0971930962301
P,45.09954374185013
Q,94.15730813631441
R,52.383904745518834
S,64.71727501187135
T,55.883063192181346
P,12.519603883432104
Q,96.8750228987733
R,96.30369783376813
S,78.01434634730526
T,87.33014316566508
P,67.37364688076983
Q,53.394878652060314
R,24.824463471640428
S,52.582211916089285
T,79.58291855606606
P,18.41961118556016
Q,89.64963407210332
R,57.51067846569126
S,35.785223396451315
T,90.35522016540024
P,84.61426275788554
Q,87.89341355412705
R,60.38991535292339
S,85.51429069727331
T,58.22477412080022
P,74.72207792094746
Q,92.32038229014216
R,19.82085297300469
S,15.516343201375804
T,96.4048447462515
P,40.728870454971855
Q,63.05908939041313
R,40.46859689160706
S,93.59242111136494
T,41.682627038382776
P,54.887681041280956
Q,79.52796284101954
R,52.54223001435594
S,58.76143371957773
T,73.80152232699652
P,93.29393914692274
Q,45.423795475129204
R,13.083808488434613
S,46.83416318378253
T,51.65645227433233
P,60.470955730190695
Q,15.456746666191698
R,16.905997813564397
S,41.016183957384214
T,38.96901620158796
P,36.92266610260208
Q,24.075653841372436
R,11.846530260483016
S,88.57721154170578
T,18.58144856111422
P,96.86823732441455
Q,30.91164643828895
R,77.49615728406434
S,41.78322706786557
T,22.837347130365437
P,68.60720162132958
Q,29.229712061413338
R,56.07950738669754
S,86.80533749398144
T,33.61657264214239
P,45.958011353465
Q,38.33611907427021
R,24.410707776992062
S,61.332742626592754
T,85.44275633296797
P,71.55459869495238
Q,59.08572044403491
R,32.396488555355845
S,21.63768776799619
T,48.13655755940597
P,10.959372498420986
Q,34.40758769678823
R,21.48927736731813
S,22.14649158131443
T,89.25080943540746
P,88.88352876369404
Q,20.30427724370477
R,76.89928320568407
S,57.936763848992975
T,85.81855367532899
P,32.525579704651236
Q,52.546030562008795
R,43.66246076812422
S,93.30084553807387
T,31.872951101272154
P,21.654041039752308
Q,89.049302328847
R,75.94047963493189
S,98.0325029279417
T,79.48489100100126
P,78.16198683803565
Q,38.73058524465303
R,76.97490255889628
S,74.30577795987078
T,92.30721369918821
P,85.95787534568817
Q,95.39842380748331
R,82.64993424234306
S,84.600120971615
T,71.1176640567096
P,77.61877795214593
Q,54.466121711084114
R,18.18684019398054
S,39.503682063621724
T,29.92820941734706
P,81.40322051895645
Q,77.01391183867368
R,27.27666363875396
S,58.19156436513169
T,73.56303739170932
P,79.95622836878513
Q,54.68586119845745
R,35.76395669204215
S,61.312075360746746
T,98.43995046222464
P,28.3348334453875
Q,65.59209380063847
R,10.517020519139557
S,52.91894561173907
T,36.03893158483854
P,38.096823886528526
Q,17.116627282577248
R,51.474489743673814
S,35.259875525566564
T,38.30531277210633
P,27.363949641101346
Q,30.456435516727012
R,91.65780316505254
S,72.81683537665069
T,25.405461942320837
P,57.92317038057645
Q,75.31196268837915
R,57.54058803717891
S,66.21972147725963
T,39.72561917039471
P,15.147585564526224
Q,72.47732160354815
R,21.974633332591548
S,90.71542362856991
T,40.34112275118852
P,44.908173027697885
Q,68.58645166181748
R,63.92532950408012
S,86.0069162381848
T,93.3811354817978
P,75.07730031763106
Q,29.720309944266237
R,62.870833553219484
S,13.004554943286308
T,25.104669595942152
P,38.959640337797815
Q,91.19323156385363
R,98.43480447292409
S,25.526789906002904
T,31.418812428281964
P,51.8918464573423
Q,21.34385331397269
R,70.9880041442552
S,76.60052547816278
T,61.433827845077
P,14.105859384171499
Q,43.64693615476432
R,57.58783424888042
S,70.94100945171489
T,22.0284135812721
P,93.23283998418361
Q,98.32896400688055
R,73.17334750439807
S,63.86050403692685
T,91.96671726853245
P,29.703287721876524
